open_time,open,high,low,close,volume,close_time,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,ignore,open_datetime,close_datetime
1773314174000,70441.98,70441.98,70441.98,70441.98,0.0,1773314174999,0.0,0,0.0,0.0,0,2026-03-12 11:16:14+00:00,2026-03-12 11:16:14.999000+00:00
1773314175000,70441.98,70441.98,70441.97,70441.98,0.03282,1773314175999,2311.9054927,6,0.00373,262.7485854,0,2026-03-12 11:16:15+00:00,2026-03-12 11:16:15.999000+00:00
1773314176000,70441.98,70441.98,70441.98,70441.98,0.00246,1773314176999,173.2872708,2,0.00246,173.2872708,0,2026-03-12 11:16:16+00:00,2026-03-12 11:16:16.999000+00:00
1773314177000,70441.98,70441.98,70441.97,70441.98,0.0033,1773314177999,232.4585333,7,0.00323,227.5275954,0,2026-03-12 11:16:17+00:00,2026-03-12 11:16:17.999000+00:00
1773314178000,70441.98,70441.98,70441.97,70441.98,0.02506,1773314178999,1765.275816,9,0.00478,336.7126644,0,2026-03-12 11:16:18+00:00,2026-03-12 11:16:18.999000+00:00
1773314179000,70441.98,70441.98,70441.98,70441.98,0.06773,1773314179999,4771.0353054,13,0.06773,4771.0353054,0,2026-03-12 11:16:19+00:00,2026-03-12 11:16:19.999000+00:00
1773314180000,70441.98,70441.98,70439.34,70439.34,0.02751,1773314180999,1937.8324506,80,0.0001,7.044198,0,2026-03-12 11:16:20+00:00,2026-03-12 11:16:20.999000+00:00
1773314181000,70439.34,70439.34,70439.34,70439.34,0.0834,1773314181999,5874.640956,2,0.0834,5874.640956,0,2026-03-12 11:16:21+00:00,2026-03-12 11:16:21.999000+00:00
1773314182000,70439.33,70439.33,70439.33,70439.33,0.024,1773314182999,1690.54392,16,0.0,0.0,0,2026-03-12 11:16:22+00:00,2026-03-12 11:16:22.999000+00:00
1773314183000,70439.34,70439.34,70439.34,70439.34,0.01096,1773314183999,772.0151664,2,0.01096,772.0151664,0,2026-03-12 11:16:23+00:00,2026-03-12 11:16:23.999000+00:00
1773314184000,70439.34,70439.34,70439.34,70439.34,0.00014,1773314184999,9.8615076,1,0.00014,9.8615076,0,2026-03-12 11:16:24+00:00,2026-03-12 11:16:24.999000+00:00
1773314185000,70439.33,70439.34,70439.33,70439.34,0.07147,1773314185999,5034.2989198,4,0.00047,33.1064898,0,2026-03-12 11:16:25+00:00,2026-03-12 11:16:25.999000+00:00
1773314186000,70439.34,70439.34,70439.34,70439.34,0.00146,1773314186999,102.8414364,1,0.00146,102.8414364,0,2026-03-12 11:16:26+00:00,2026-03-12 11:16:26.999000+00:00
1773314187000,70439.33,70439.33,70433.42,70433.42,0.06782,1773314187999,4777.0468241,189,0.00012,8.4520116,0,2026-03-12 11:16:27+00:00,2026-03-12 11:16:27.999000+00:00
1773314188000,70433.42,70433.43,70433.42,70433.42,0.03561,1773314188999,2508.1340963,9,0.00101,71.1377643,0,2026-03-12 11:16:28+00:00,2026-03-12 11:16:28.999000+00:00
1773314189000,70433.43,70433.43,70433.42,70433.43,0.13782,1773314189999,9707.1346126,6,0.06682,4706.3617926,0,2026-03-12 11:16:29+00:00,2026-03-12 11:16:29.999000+00:00
1773314190000,70433.42,70433.42,70433.42,70433.42,0.07246,1773314190999,5103.6056132,2,0.0,0.0,0,2026-03-12 11:16:30+00:00,2026-03-12 11:16:30.999000+00:00
